system_user_id,name,email,role,department,status,last_login
25,Officer_25,officer25@sipmanagement.com,FUND_MANAGER,Technology,ACTIVE,2023-06-11 14:00:00
26,Officer_26,officer26@sipmanagement.com,FUND_MANAGER,Technology,ACTIVE,2024-06-03 03:55:00
27,Officer_27,officer27@sipmanagement.com,COMPLIANCE_OFFICER,Technology,INACTIVE,2023-06-06 11:48:00
28,Officer_28,officer28@sipmanagement.com,FUND_MANAGER,Risk,ACTIVE,2024-06-27 00:38:00
29,Officer_29,officer29@sipmanagement.com,SUPER_ADMIN,Operations,ACTIVE,2024-01-07 09:15:00
30,Officer_30,officer30@sipmanagement.com,ANALYST,Compliance,INACTIVE,2023-03-22 02:46:00
31,Officer_31,officer31@sipmanagement.com,ANALYST,Technology,ACTIVE,2024-06-29 04:08:00
32,Officer_32,officer32@sipmanagement.com,COMPLIANCE_OFFICER,Technology,ACTIVE,2024-06-24 19:27:00
33,Officer_33,officer33@sipmanagement.com,FUND_MANAGER,Risk,INACTIVE,2024-12-07 06:45:00
34,Officer_34,officer34@sipmanagement.com,ANALYST,Compliance,ACTIVE,2024-10-27 11:28:00
35,Officer_35,officer35@sipmanagement.com,COMPLIANCE_OFFICER,Technology,ACTIVE,2023-03-07 10:01:00
36,Officer_36,officer36@sipmanagement.com,SUPER_ADMIN,Operations,ACTIVE,2023-03-14 22:40:00
37,Officer_37,officer37@sipmanagement.com,COMPLIANCE_OFFICER,Investments,ACTIVE,2023-02-02 10:04:00
38,Officer_38,officer38@sipmanagement.com,ANALYST,Operations,ACTIVE,2023-08-08 17:08:00
39,Officer_39,officer39@sipmanagement.com,SUPER_ADMIN,Compliance,ACTIVE,2025-04-06 13:12:00
40,Officer_40,officer40@sipmanagement.com,ANALYST,Compliance,ACTIVE,2023-12-29 13:26:00
41,Officer_41,officer41@sipmanagement.com,ANALYST,Investments,ACTIVE,2024-10-23 03:03:00
42,Officer_42,officer42@sipmanagement.com,COMPLIANCE_OFFICER,Technology,ACTIVE,2023-04-22 07:12:00
43,Officer_43,officer43@sipmanagement.com,ANALYST,Operations,ACTIVE,2024-03-08 05:17:00
44,Officer_44,officer44@sipmanagement.com,SUPER_ADMIN,Compliance,ACTIVE,2023-03-19 14:51:00
45,Officer_45,officer45@sipmanagement.com,COMPLIANCE_OFFICER,Operations,ACTIVE,2024-07-07 00:05:00
46,Officer_46,officer46@sipmanagement.com,ANALYST,Compliance,ACTIVE,2024-05-07 06:55:00
47,Officer_47,officer47@sipmanagement.com,ANALYST,Investments,ACTIVE,2023-01-03 12:16:00
48,Officer_48,officer48@sipmanagement.com,ANALYST,Operations,ACTIVE,2025-01-18 17:42:00
49,Officer_49,officer49@sipmanagement.com,SUPER_ADMIN,Investments,ACTIVE,2023-08-11 01:37:00
50,Officer_50,officer50@sipmanagement.com,COMPLIANCE_OFFICER,Compliance,INACTIVE,2024-08-21 15:32:00
51,Officer_51,officer51@sipmanagement.com,SUPER_ADMIN,Operations,ACTIVE,2023-03-24 05:04:00
52,Officer_52,officer52@sipmanagement.com,SUPER_ADMIN,Technology,ACTIVE,2024-08-06 07:37:00
53,Officer_53,officer53@sipmanagement.com,FUND_MANAGER,Investments,ACTIVE,2024-11-04 18:36:00
54,Officer_54,officer54@sipmanagement.com,FUND_MANAGER,Risk,ACTIVE,2025-01-03 10:15:00
55,Officer_55,officer55@sipmanagement.com,FUND_MANAGER,Compliance,ACTIVE,2024-10-22 09:29:00
56,Officer_56,officer56@sipmanagement.com,SUPER_ADMIN,Technology,ACTIVE,2024-09-28 18:06:00
57,Officer_57,officer57@sipmanagement.com,FUND_MANAGER,Compliance,ACTIVE,2023-09-29 04:59:00
58,Officer_58,officer58@sipmanagement.com,ANALYST,Technology,ACTIVE,2024-01-14 09:10:00
59,Officer_59,officer59@sipmanagement.com,SUPER_ADMIN,Technology,ACTIVE,2024-09-18 20:33:00
60,Officer_60,officer60@sipmanagement.com,COMPLIANCE_OFFICER,Investments,ACTIVE,2024-11-10 03:56:00
61,Officer_61,officer61@sipmanagement.com,COMPLIANCE_OFFICER,Investments,ACTIVE,2023-04-20 23:35:00
62,Officer_62,officer62@sipmanagement.com,COMPLIANCE_OFFICER,Investments,ACTIVE,2023-08-04 22:21:00
63,Officer_63,officer63@sipmanagement.com,ANALYST,Investments,ACTIVE,2023-09-15 01:05:00
64,Officer_64,officer64@sipmanagement.com,FUND_MANAGER,Operations,ACTIVE,2023-12-08 04:40:00
65,Officer_65,officer65@sipmanagement.com,SUPER_ADMIN,Compliance,ACTIVE,2024-07-18 22:27:00
66,Officer_66,officer66@sipmanagement.com,SUPER_ADMIN,Investments,ACTIVE,2024-12-08 04:34:00
67,Officer_67,officer67@sipmanagement.com,SUPER_ADMIN,Investments,ACTIVE,2023-06-01 13:08:00
68,Officer_68,officer68@sipmanagement.com,FUND_MANAGER,Operations,ACTIVE,2025-03-26 01:57:00
69,Officer_69,officer69@sipmanagement.com,ANALYST,Technology,ACTIVE,2024-11-13 03:22:00
70,Officer_70,officer70@sipmanagement.com,COMPLIANCE_OFFICER,Risk,ACTIVE,2023-08-31 05:51:00
71,Officer_71,officer71@sipmanagement.com,ANALYST,Operations,ACTIVE,2025-01-24 10:50:00
72,Officer_72,officer72@sipmanagement.com,ANALYST,Compliance,ACTIVE,2025-03-17 22:06:00
73,Officer_73,officer73@sipmanagement.com,ANALYST,Investments,ACTIVE,2023-08-16 06:52:00
74,Officer_74,officer74@sipmanagement.com,SUPER_ADMIN,Operations,ACTIVE,2025-03-25 07:14:00
75,Officer_75,officer75@sipmanagement.com,FUND_MANAGER,Investments,ACTIVE,2023-10-13 02:49:00
76,Officer_76,officer76@sipmanagement.com,FUND_MANAGER,Compliance,ACTIVE,2024-02-14 21:53:00
77,Officer_77,officer77@sipmanagement.com,FUND_MANAGER,Compliance,ACTIVE,2023-09-25 05:37:00
78,Officer_78,officer78@sipmanagement.com,FUND_MANAGER,Risk,ACTIVE,2024-03-20 11:46:00
79,Officer_79,officer79@sipmanagement.com,COMPLIANCE_OFFICER,Investments,ACTIVE,2024-06-07 03:24:00
80,Officer_80,officer80@sipmanagement.com,COMPLIANCE_OFFICER,Investments,ACTIVE,2024-03-22 00:33:00
81,Officer_81,officer81@sipmanagement.com,FUND_MANAGER,Compliance,ACTIVE,2024-11-11 10:39:00
82,Officer_82,officer82@sipmanagement.com,ANALYST,Investments,ACTIVE,2023-11-04 16:19:00
83,Officer_83,officer83@sipmanagement.com,COMPLIANCE_OFFICER,Risk,ACTIVE,2023-10-30 17:08:00
84,Officer_84,officer84@sipmanagement.com,COMPLIANCE_OFFICER,Technology,ACTIVE,2024-01-24 21:47:00
85,Officer_85,officer85@sipmanagement.com,SUPER_ADMIN,Investments,ACTIVE,2024-02-20 17:53:00
86,Officer_86,officer86@sipmanagement.com,FUND_MANAGER,Risk,ACTIVE,2024-03-16 18:38:00
87,Officer_87,officer87@sipmanagement.com,ANALYST,Operations,ACTIVE,2024-11-22 06:32:00
88,Officer_88,officer88@sipmanagement.com,FUND_MANAGER,Compliance,ACTIVE,2023-10-18 16:42:00
89,Officer_89,officer89@sipmanagement.com,FUND_MANAGER,Operations,ACTIVE,2025-02-08 07:43:00
90,Officer_90,officer90@sipmanagement.com,COMPLIANCE_OFFICER,Risk,ACTIVE,2023-05-31 00:02:00
91,Officer_91,officer91@sipmanagement.com,ANALYST,Technology,ACTIVE,2025-02-25 02:29:00
92,Officer_92,officer92@sipmanagement.com,ANALYST,Operations,ACTIVE,2024-12-14 12:31:00
93,Officer_93,officer93@sipmanagement.com,SUPER_ADMIN,Risk,ACTIVE,2024-12-05 00:57:00
94,Officer_94,officer94@sipmanagement.com,ANALYST,Compliance,ACTIVE,2025-04-03 22:33:00
95,Officer_95,officer95@sipmanagement.com,COMPLIANCE_OFFICER,Risk,ACTIVE,2025-05-18 03:29:00
96,Officer_96,officer96@sipmanagement.com,ANALYST,Technology,ACTIVE,2024-07-26 19:20:00
97,Officer_97,officer97@sipmanagement.com,ANALYST,Operations,ACTIVE,2024-05-31 13:53:00
98,Officer_98,officer98@sipmanagement.com,COMPLIANCE_OFFICER,Investments,ACTIVE,2024-05-01 14:16:00
99,Officer_99,officer99@sipmanagement.com,COMPLIANCE_OFFICER,Investments,ACTIVE,2024-06-17 15:40:00
100,Officer_100,officer100@sipmanagement.com,FUND_MANAGER,Investments,ACTIVE,2024-12-31 09:15:00
101,Officer_101,officer101@sipmanagement.com,COMPLIANCE_OFFICER,Operations,ACTIVE,2024-07-07 02:08:00
102,Officer_102,officer102@sipmanagement.com,SUPER_ADMIN,Risk,ACTIVE,2023-06-06 22:13:00
103,Officer_103,officer103@sipmanagement.com,SUPER_ADMIN,Operations,ACTIVE,2024-07-09 14:26:00
104,Officer_104,officer104@sipmanagement.com,SUPER_ADMIN,Technology,ACTIVE,2024-02-03 18:44:00
105,Officer_105,officer105@sipmanagement.com,ANALYST,Risk,ACTIVE,2023-01-07 11:19:00
106,Officer_106,officer106@sipmanagement.com,COMPLIANCE_OFFICER,Risk,ACTIVE,2025-01-22 17:51:00
107,Officer_107,officer107@sipmanagement.com,ANALYST,Investments,ACTIVE,2024-03-22 15:01:00
108,Officer_108,officer108@sipmanagement.com,COMPLIANCE_OFFICER,Risk,INACTIVE,2025-03-28 12:46:00
109,Officer_109,officer109@sipmanagement.com,ANALYST,Technology,ACTIVE,2024-09-29 17:01:00
110,Officer_110,officer110@sipmanagement.com,ANALYST,Operations,ACTIVE,2023-01-28 02:41:00
111,Officer_111,officer111@sipmanagement.com,ANALYST,Investments,ACTIVE,2023-07-06 01:16:00
112,Officer_112,officer112@sipmanagement.com,ANALYST,Investments,ACTIVE,2023-12-01 10:48:00
113,Officer_113,officer113@sipmanagement.com,SUPER_ADMIN,Risk,ACTIVE,2025-05-01 13:16:00
114,Officer_114,officer114@sipmanagement.com,COMPLIANCE_OFFICER,Compliance,ACTIVE,2024-07-06 01:22:00
115,Officer_115,officer115@sipmanagement.com,SUPER_ADMIN,Operations,ACTIVE,2024-10-29 01:48:00
116,Officer_116,officer116@sipmanagement.com,COMPLIANCE_OFFICER,Operations,ACTIVE,2023-01-21 19:09:00
117,Officer_117,officer117@sipmanagement.com,ANALYST,Investments,ACTIVE,2023-04-28 18:13:00
118,Officer_118,officer118@sipmanagement.com,SUPER_ADMIN,Operations,INACTIVE,2023-06-21 19:38:00
119,Officer_119,officer119@sipmanagement.com,FUND_MANAGER,Technology,ACTIVE,2023-04-21 18:01:00
120,Officer_120,officer120@sipmanagement.com,COMPLIANCE_OFFICER,Compliance,ACTIVE,2024-01-20 12:45:00
121,Officer_121,officer121@sipmanagement.com,SUPER_ADMIN,Investments,ACTIVE,2025-04-30 20:15:00
122,Officer_122,officer122@sipmanagement.com,SUPER_ADMIN,Investments,ACTIVE,2024-09-06 03:50:00
123,Officer_123,officer123@sipmanagement.com,FUND_MANAGER,Compliance,ACTIVE,2024-11-08 11:04:00
124,Officer_124,officer124@sipmanagement.com,ANALYST,Investments,ACTIVE,2025-04-22 15:06:00
125,Officer_125,officer125@sipmanagement.com,COMPLIANCE_OFFICER,Risk,ACTIVE,2025-04-28 14:45:00
126,Officer_126,officer126@sipmanagement.com,ANALYST,Risk,ACTIVE,2024-06-18 20:17:00
127,Officer_127,officer127@sipmanagement.com,FUND_MANAGER,Operations,ACTIVE,2025-01-18 18:17:00
128,Officer_128,officer128@sipmanagement.com,ANALYST,Operations,ACTIVE,2023-03-30 08:56:00
129,Officer_129,officer129@sipmanagement.com,ANALYST,Investments,ACTIVE,2024-08-06 19:42:00
130,Officer_130,officer130@sipmanagement.com,ANALYST,Operations,ACTIVE,2025-05-21 10:11:00
131,Officer_131,officer131@sipmanagement.com,FUND_MANAGER,Technology,ACTIVE,2023-09-22 10:17:00
132,Officer_132,officer132@sipmanagement.com,ANALYST,Risk,ACTIVE,2023-07-15 02:15:00
133,Officer_133,officer133@sipmanagement.com,ANALYST,Risk,ACTIVE,2023-09-04 22:30:00
134,Officer_134,officer134@sipmanagement.com,ANALYST,Operations,ACTIVE,2023-04-06 09:14:00
135,Officer_135,officer135@sipmanagement.com,FUND_MANAGER,Risk,INACTIVE,2024-08-18 11:30:00
136,Officer_136,officer136@sipmanagement.com,ANALYST,Investments,ACTIVE,2024-07-17 10:22:00
137,Officer_137,officer137@sipmanagement.com,COMPLIANCE_OFFICER,Investments,ACTIVE,2023-08-25 03:46:00
138,Officer_138,officer138@sipmanagement.com,COMPLIANCE_OFFICER,Operations,ACTIVE,2024-07-02 22:11:00
139,Officer_139,officer139@sipmanagement.com,FUND_MANAGER,Compliance,ACTIVE,2023-10-11 23:37:00
140,Officer_140,officer140@sipmanagement.com,COMPLIANCE_OFFICER,Investments,ACTIVE,2023-10-31 07:23:00
141,Officer_141,officer141@sipmanagement.com,SUPER_ADMIN,Compliance,ACTIVE,2024-06-30 04:17:00
142,Officer_142,officer142@sipmanagement.com,ANALYST,Compliance,ACTIVE,2024-12-15 04:40:00
143,Officer_143,officer143@sipmanagement.com,ANALYST,Risk,ACTIVE,2024-08-10 09:30:00
144,Officer_144,officer144@sipmanagement.com,ANALYST,Compliance,ACTIVE,2023-02-22 08:55:00
145,Officer_145,officer145@sipmanagement.com,SUPER_ADMIN,Operations,ACTIVE,2024-02-15 15:04:00
146,Officer_146,officer146@sipmanagement.com,COMPLIANCE_OFFICER,Compliance,ACTIVE,2024-07-30 09:05:00
147,Officer_147,officer147@sipmanagement.com,COMPLIANCE_OFFICER,Technology,ACTIVE,2024-03-02 19:38:00
148,Officer_148,officer148@sipmanagement.com,ANALYST,Investments,ACTIVE,2024-03-29 09:55:00
149,Officer_149,officer149@sipmanagement.com,SUPER_ADMIN,Operations,ACTIVE,2023-03-03 19:47:00
150,Officer_150,officer150@sipmanagement.com,COMPLIANCE_OFFICER,Operations,ACTIVE,2023-09-28 21:05:00
151,Officer_151,officer151@sipmanagement.com,ANALYST,Risk,ACTIVE,2023-03-18 05:00:00
152,Officer_152,officer152@sipmanagement.com,COMPLIANCE_OFFICER,Investments,ACTIVE,2024-04-26 09:02:00
153,Officer_153,officer153@sipmanagement.com,COMPLIANCE_OFFICER,Investments,ACTIVE,2024-12-20 14:04:00
154,Officer_154,officer154@sipmanagement.com,COMPLIANCE_OFFICER,Risk,ACTIVE,2024-10-02 18:42:00
155,Officer_155,officer155@sipmanagement.com,FUND_MANAGER,Operations,ACTIVE,2023-08-19 20:09:00
156,Officer_156,officer156@sipmanagement.com,FUND_MANAGER,Risk,ACTIVE,2023-06-19 09:38:00
157,Officer_157,officer157@sipmanagement.com,ANALYST,Investments,ACTIVE,2024-12-06 09:44:00
158,Officer_158,officer158@sipmanagement.com,SUPER_ADMIN,Risk,ACTIVE,2024-05-20 14:05:00
159,Officer_159,officer159@sipmanagement.com,SUPER_ADMIN,Operations,INACTIVE,2024-09-10 08:01:00
160,Officer_160,officer160@sipmanagement.com,SUPER_ADMIN,Investments,ACTIVE,2025-05-06 18:37:00
161,Officer_161,officer161@sipmanagement.com,ANALYST,Investments,ACTIVE,2025-02-20 05:30:00
162,Officer_162,officer162@sipmanagement.com,ANALYST,Compliance,ACTIVE,2024-08-22 13:40:00
163,Officer_163,officer163@sipmanagement.com,SUPER_ADMIN,Operations,ACTIVE,2024-02-23 10:20:00
164,Officer_164,officer164@sipmanagement.com,ANALYST,Technology,ACTIVE,2024-12-11 15:18:00
165,Officer_165,officer165@sipmanagement.com,FUND_MANAGER,Compliance,INACTIVE,2023-04-01 10:16:00
166,Officer_166,officer166@sipmanagement.com,SUPER_ADMIN,Technology,ACTIVE,2024-02-18 16:52:00
167,Officer_167,officer167@sipmanagement.com,FUND_MANAGER,Technology,ACTIVE,2023-02-25 06:33:00
168,Officer_168,officer168@sipmanagement.com,SUPER_ADMIN,Operations,ACTIVE,2024-10-02 14:48:00
169,Officer_169,officer169@sipmanagement.com,ANALYST,Compliance,ACTIVE,2023-05-15 09:28:00
170,Officer_170,officer170@sipmanagement.com,COMPLIANCE_OFFICER,Operations,ACTIVE,2024-10-07 19:51:00
171,Officer_171,officer171@sipmanagement.com,SUPER_ADMIN,Operations,INACTIVE,2023-01-15 17:26:00
172,Officer_172,officer172@sipmanagement.com,COMPLIANCE_OFFICER,Risk,INACTIVE,2023-04-27 14:07:00
173,Officer_173,officer173@sipmanagement.com,FUND_MANAGER,Risk,ACTIVE,2023-10-26 16:45:00
174,Officer_174,officer174@sipmanagement.com,COMPLIANCE_OFFICER,Risk,ACTIVE,2024-04-28 07:29:00
175,Officer_175,officer175@sipmanagement.com,COMPLIANCE_OFFICER,Compliance,ACTIVE,2024-09-05 16:47:00
176,Officer_176,officer176@sipmanagement.com,FUND_MANAGER,Compliance,ACTIVE,2025-03-19 13:21:00
177,Officer_177,officer177@sipmanagement.com,ANALYST,Operations,ACTIVE,2023-11-02 18:37:00
178,Officer_178,officer178@sipmanagement.com,ANALYST,Risk,INACTIVE,2024-05-10 11:21:00
179,Officer_179,officer179@sipmanagement.com,COMPLIANCE_OFFICER,Technology,ACTIVE,2025-06-09 06:44:00
180,Officer_180,officer180@sipmanagement.com,FUND_MANAGER,Risk,ACTIVE,2025-05-26 13:02:00
181,Officer_181,officer181@sipmanagement.com,COMPLIANCE_OFFICER,Risk,INACTIVE,2025-04-10 12:24:00
182,Officer_182,officer182@sipmanagement.com,FUND_MANAGER,Compliance,ACTIVE,2023-05-10 16:37:00
183,Officer_183,officer183@sipmanagement.com,ANALYST,Compliance,ACTIVE,2024-03-26 03:33:00
184,Officer_184,officer184@sipmanagement.com,SUPER_ADMIN,Risk,ACTIVE,2024-02-24 20:09:00
185,Officer_185,officer185@sipmanagement.com,ANALYST,Compliance,ACTIVE,2023-09-29 10:39:00
186,Officer_186,officer186@sipmanagement.com,ANALYST,Investments,ACTIVE,2025-05-22 21:54:00
187,Officer_187,officer187@sipmanagement.com,SUPER_ADMIN,Technology,ACTIVE,2025-02-16 15:55:00
188,Officer_188,officer188@sipmanagement.com,FUND_MANAGER,Operations,ACTIVE,2024-10-08 21:58:00
189,Officer_189,officer189@sipmanagement.com,SUPER_ADMIN,Risk,ACTIVE,2024-03-20 03:48:00
190,Officer_190,officer190@sipmanagement.com,FUND_MANAGER,Compliance,ACTIVE,2023-11-03 00:02:00
191,Officer_191,officer191@sipmanagement.com,COMPLIANCE_OFFICER,Technology,ACTIVE,2024-01-19 13:09:00
192,Officer_192,officer192@sipmanagement.com,COMPLIANCE_OFFICER,Compliance,ACTIVE,2024-11-29 05:10:00
193,Officer_193,officer193@sipmanagement.com,COMPLIANCE_OFFICER,Risk,INACTIVE,2024-01-27 19:43:00
194,Officer_194,officer194@sipmanagement.com,FUND_MANAGER,Risk,ACTIVE,2023-05-27 07:29:00
195,Officer_195,officer195@sipmanagement.com,FUND_MANAGER,Technology,ACTIVE,2023-01-10 14:57:00
196,Officer_196,officer196@sipmanagement.com,FUND_MANAGER,Risk,ACTIVE,2024-03-28 11:37:00
197,Officer_197,officer197@sipmanagement.com,ANALYST,Risk,ACTIVE,2024-04-12 09:12:00
198,Officer_198,officer198@sipmanagement.com,FUND_MANAGER,Investments,ACTIVE,2024-01-26 18:22:00
199,Officer_199,officer199@sipmanagement.com,FUND_MANAGER,Compliance,ACTIVE,2025-04-29 21:25:00
200,Officer_200,officer200@sipmanagement.com,ANALYST,Investments,ACTIVE,2024-12-03 23:03:00
