schedule_id,user_id,fund_id,sip_amount,frequency,debit_day,next_debit,bank_account,status
30,8884,16,500,MONTHLY,24,2025-06-10,SBI-1676168421,COMPLETED
31,1313,218,500,MONTHLY,6,2025-02-05,Indian Bank-6305160342,ACTIVE
32,9334,64,3000,MONTHLY,19,2025-11-01,SBI-2119980130,ACTIVE
33,5148,62,5000,MONTHLY,9,2025-07-22,ICICI-7258731893,CANCELLED
34,1189,3,500,MONTHLY,15,2025-11-15,Indian Bank-2139027119,CANCELLED
35,1128,226,1000,MONTHLY,8,2025-07-09,Kotak-3271782991,ACTIVE
36,9087,77,1500,MONTHLY,22,2025-02-23,ICICI-3376077463,ACTIVE
37,9910,54,5000,MONTHLY,23,2025-06-25,Axis-7393195616,CANCELLED
38,833,24,500,MONTHLY,21,2025-08-05,Kotak-4311931853,ACTIVE
39,4292,42,5000,MONTHLY,24,2025-08-15,BOB-1041531046,ACTIVE
40,2443,140,3000,MONTHLY,2,2025-07-09,Indian Bank-1547374338,ACTIVE
41,654,231,5000,MONTHLY,12,2025-04-18,Axis-4993808565,PAUSED
42,2901,226,5000,HALF_YEARLY,14,2025-01-13,ICICI-6360837474,ACTIVE
43,1772,98,1000,MONTHLY,28,2025-01-20,Union Bank-9239688178,ACTIVE
44,3729,58,2000,MONTHLY,1,2025-12-04,Axis-4712367625,COMPLETED
45,4574,90,5000,YEARLY,21,2025-09-18,Canara-7597996327,CANCELLED
46,1890,225,1500,MONTHLY,9,2025-04-02,Indian Bank-7857221324,ACTIVE
47,5140,112,2000,QUARTERLY,20,2025-09-19,HDFC-6111349421,ACTIVE
48,7145,1,1500,MONTHLY,17,2025-10-03,Axis-9249648005,ACTIVE
49,2042,185,5000,MONTHLY,10,2025-09-17,Kotak-1546696950,ACTIVE
50,6212,174,3000,MONTHLY,24,2025-03-31,Indian Bank-5296710795,ACTIVE
51,7044,202,2000,MONTHLY,19,2025-11-07,PNB-3901796894,ACTIVE
52,2781,169,5000,MONTHLY,3,2025-05-26,BOB-2439622619,PAUSED
53,3849,173,1000,MONTHLY,10,2025-04-26,Axis-5607762160,ACTIVE
54,9432,50,2000,MONTHLY,23,2025-12-23,Canara-3953315788,PAUSED
55,1747,200,10000,YEARLY,14,2025-04-23,ICICI-7519578899,ACTIVE
56,4083,235,1000,QUARTERLY,28,2025-03-04,Union Bank-7852415525,COMPLETED
57,7252,157,10000,HALF_YEARLY,27,2025-09-16,Canara-8995059760,ACTIVE
58,4051,216,2000,MONTHLY,21,2025-05-22,BOB-6474354351,ACTIVE
59,4682,61,3000,MONTHLY,9,2025-06-21,PNB-1647812758,ACTIVE
60,2504,181,2000,MONTHLY,7,2025-02-02,Canara-7296096954,ACTIVE
61,6884,100,10000,QUARTERLY,25,2025-10-27,SBI-7767538527,ACTIVE
62,5764,77,3000,MONTHLY,25,2025-07-19,Canara-6242173772,ACTIVE
63,7141,125,5000,MONTHLY,1,2025-07-19,PNB-1116402431,ACTIVE
64,2224,222,1500,MONTHLY,15,2025-04-04,SBI-6204041308,ACTIVE
65,6212,72,10000,MONTHLY,25,2025-08-04,Kotak-9673185158,ACTIVE
66,5734,58,10000,MONTHLY,21,2025-02-05,SBI-2062073697,PAUSED
67,2497,62,3000,HALF_YEARLY,5,2025-08-31,HDFC-2584392711,ACTIVE
68,1877,200,500,MONTHLY,27,2025-03-25,Kotak-9284507318,ACTIVE
69,6150,102,3000,MONTHLY,23,2025-04-12,HDFC-3693985578,ACTIVE
70,4942,218,10000,YEARLY,22,2025-11-04,HDFC-4361393222,ACTIVE
71,7019,170,5000,MONTHLY,12,2025-02-05,BOB-8943866829,PAUSED
72,1730,111,5000,MONTHLY,12,2025-11-22,Union Bank-8088660633,ACTIVE
73,8818,199,10000,MONTHLY,16,2025-08-27,Canara-6447717367,PAUSED
74,1420,72,3000,MONTHLY,15,2025-05-05,Union Bank-6922713963,ACTIVE
75,5326,47,10000,MONTHLY,16,2025-04-19,PNB-9074999565,ACTIVE
76,8465,243,5000,MONTHLY,7,2025-02-13,Axis-8352307139,ACTIVE
77,283,24,5000,MONTHLY,10,2025-04-24,Canara-6879898071,ACTIVE
78,5633,109,1500,MONTHLY,24,2025-10-09,PNB-6458544482,ACTIVE
79,1977,185,5000,MONTHLY,7,2025-06-11,HDFC-1795212538,ACTIVE
80,7934,71,3000,MONTHLY,24,2025-10-29,BOB-6128695961,ACTIVE
81,2940,78,1000,MONTHLY,1,2025-12-29,BOB-5184564874,ACTIVE
82,2069,164,10000,MONTHLY,28,2025-09-09,HDFC-6516195409,ACTIVE
83,5583,48,500,QUARTERLY,2,2025-05-10,Union Bank-7015992643,ACTIVE
84,879,39,500,YEARLY,5,2025-10-16,Kotak-8578226896,ACTIVE
85,3698,199,2000,MONTHLY,17,2025-07-14,Union Bank-7136777415,ACTIVE
86,987,157,5000,MONTHLY,24,2025-02-20,Axis-3836517266,ACTIVE
87,2848,142,2000,MONTHLY,3,2025-03-22,SBI-7845366946,ACTIVE
88,3793,74,500,MONTHLY,23,2025-05-25,Union Bank-9263135031,ACTIVE
89,9664,170,500,MONTHLY,26,2025-04-12,Canara-3781569954,CANCELLED
90,2331,19,3000,MONTHLY,2,2025-03-26,Kotak-6534540349,ACTIVE
91,4983,180,3000,MONTHLY,13,2025-05-20,BOB-9935429720,ACTIVE
92,7079,189,500,MONTHLY,11,2025-11-06,Kotak-5083595988,COMPLETED
93,4416,148,3000,MONTHLY,2,2025-03-31,Union Bank-9229469952,ACTIVE
94,9591,112,2000,MONTHLY,21,2025-09-09,HDFC-6726515966,ACTIVE
95,2635,85,1500,MONTHLY,14,2025-12-22,Union Bank-5452580287,ACTIVE
96,4136,83,10000,YEARLY,4,2025-07-26,BOB-7625389037,ACTIVE
97,3074,133,5000,MONTHLY,12,2025-11-15,Union Bank-1221670908,ACTIVE
98,2147,238,500,MONTHLY,10,2025-08-13,Union Bank-4433026356,ACTIVE
99,5092,142,500,MONTHLY,1,2025-10-10,Canara-5782279101,CANCELLED
100,2523,128,5000,MONTHLY,23,2025-05-30,BOB-8880079328,COMPLETED
101,3994,117,1000,HALF_YEARLY,18,2025-03-16,Canara-4776677517,PAUSED
102,4527,198,10000,MONTHLY,26,2025-08-01,PNB-4524233168,ACTIVE
103,4892,215,10000,MONTHLY,19,2025-10-24,Union Bank-7608153267,ACTIVE
104,9043,196,1500,QUARTERLY,18,2025-07-13,Union Bank-2644847276,PAUSED
105,6731,12,2000,YEARLY,11,2025-08-31,Canara-5948254671,COMPLETED
106,2069,129,10000,QUARTERLY,19,2025-06-19,HDFC-9205284543,ACTIVE
107,2362,105,500,MONTHLY,28,2025-12-02,ICICI-9457665185,ACTIVE
108,6513,167,2000,YEARLY,3,2025-06-18,BOB-3323646093,ACTIVE
109,3847,162,5000,MONTHLY,22,2025-05-28,Axis-5201928545,ACTIVE
110,1647,114,500,MONTHLY,6,2025-12-22,Kotak-4419410162,ACTIVE
111,6142,111,2000,MONTHLY,5,2025-05-06,BOB-4403845222,ACTIVE
112,1294,157,5000,MONTHLY,28,2025-07-15,Indian Bank-1614685938,ACTIVE
113,4162,118,10000,MONTHLY,9,2025-12-08,SBI-3347621138,ACTIVE
114,5662,151,5000,MONTHLY,10,2025-11-24,Canara-8925520026,ACTIVE
115,6303,219,2000,MONTHLY,16,2025-02-24,Axis-7763765757,COMPLETED
116,4838,6,1500,MONTHLY,27,2025-12-04,Canara-5181592277,CANCELLED
117,8139,214,10000,MONTHLY,10,2025-04-28,Indian Bank-3734252963,ACTIVE
118,2241,161,1500,MONTHLY,4,2025-11-18,SBI-9733234156,ACTIVE
119,2154,24,1000,MONTHLY,10,2025-06-17,Canara-6001680218,CANCELLED
120,7895,248,10000,MONTHLY,26,2025-06-01,PNB-5135595227,ACTIVE
121,3697,221,10000,QUARTERLY,22,2025-12-12,Canara-2570991899,ACTIVE
122,229,68,1500,MONTHLY,18,2025-03-05,Union Bank-8182649048,ACTIVE
123,6087,28,500,MONTHLY,22,2025-04-30,Union Bank-3620283102,ACTIVE
124,7607,233,500,MONTHLY,23,2025-06-04,Canara-5064162365,ACTIVE
125,8072,30,1000,MONTHLY,4,2025-05-01,BOB-7615076397,ACTIVE
126,2532,227,10000,MONTHLY,14,2025-12-02,HDFC-9381721143,ACTIVE
127,6071,56,10000,MONTHLY,15,2025-08-16,Axis-8064477344,ACTIVE
128,4521,49,5000,MONTHLY,4,2025-08-21,HDFC-5170814022,ACTIVE
129,5465,63,500,QUARTERLY,5,2025-10-17,Axis-3380304322,ACTIVE
130,3818,85,500,MONTHLY,25,2025-03-17,Indian Bank-5226368665,COMPLETED
131,8851,65,5000,QUARTERLY,26,2025-03-31,HDFC-1566090561,ACTIVE
132,3899,151,1500,MONTHLY,11,2025-01-09,ICICI-8480622107,ACTIVE
133,1042,122,3000,MONTHLY,15,2025-07-05,BOB-3163970710,CANCELLED
134,711,187,1500,MONTHLY,26,2025-12-04,BOB-5140460939,ACTIVE
135,7848,217,2000,MONTHLY,13,2025-08-07,HDFC-2905085701,PAUSED
136,5278,156,1500,MONTHLY,5,2025-02-03,ICICI-8353640266,ACTIVE
137,9788,136,3000,MONTHLY,10,2025-08-21,BOB-4717261214,ACTIVE
138,3744,106,2000,MONTHLY,11,2025-08-21,Canara-6637352245,ACTIVE
139,4177,96,500,MONTHLY,5,2025-12-18,Union Bank-1366637148,ACTIVE
140,6106,208,3000,YEARLY,5,2025-10-12,SBI-7707379050,ACTIVE
141,6731,91,10000,HALF_YEARLY,28,2025-12-07,Canara-6636925105,ACTIVE
142,8314,55,1000,QUARTERLY,5,2025-12-03,Union Bank-7684109313,ACTIVE
143,4565,147,10000,QUARTERLY,8,2025-08-08,BOB-9702693937,CANCELLED
144,4382,8,1500,MONTHLY,6,2025-05-20,Kotak-8118240999,ACTIVE
145,503,24,2000,MONTHLY,24,2025-09-29,Axis-2464137110,ACTIVE
146,5315,199,500,MONTHLY,19,2025-11-02,HDFC-9803662851,ACTIVE
147,7260,170,2000,MONTHLY,14,2025-09-06,Indian Bank-3200510647,ACTIVE
148,1817,73,2000,MONTHLY,22,2025-12-14,Indian Bank-2324651201,ACTIVE
149,9820,15,1000,MONTHLY,1,2025-04-15,Kotak-8577013359,ACTIVE
150,1966,2,1000,MONTHLY,16,2025-08-09,ICICI-4022245086,ACTIVE
151,5803,19,500,MONTHLY,13,2025-01-22,Canara-8044354825,ACTIVE
152,6637,6,2000,QUARTERLY,11,2025-03-29,Indian Bank-9245348297,ACTIVE
153,1735,63,3000,MONTHLY,14,2025-10-29,Canara-9033841191,ACTIVE
154,3631,86,3000,MONTHLY,25,2025-03-28,HDFC-8628842157,ACTIVE
155,2420,61,1000,MONTHLY,4,2025-03-16,Kotak-1323639855,COMPLETED
156,8096,119,2000,MONTHLY,25,2025-10-16,Indian Bank-2357806226,ACTIVE
157,7683,114,3000,MONTHLY,21,2025-06-05,Kotak-3178995337,ACTIVE
158,7405,10,500,MONTHLY,2,2025-07-08,Kotak-9977755129,ACTIVE
159,6300,119,2000,HALF_YEARLY,19,2025-10-11,SBI-6103449651,ACTIVE
160,8215,39,10000,QUARTERLY,2,2025-08-19,HDFC-4067961943,ACTIVE
161,2828,11,2000,MONTHLY,8,2025-12-29,Union Bank-3619094295,ACTIVE
162,4635,100,500,MONTHLY,14,2025-06-23,Indian Bank-8075122626,ACTIVE
163,1549,143,1500,MONTHLY,22,2025-07-17,Kotak-4750707607,ACTIVE
164,9548,170,5000,MONTHLY,5,2025-06-29,Kotak-2683446724,ACTIVE
165,1389,80,10000,MONTHLY,18,2025-07-12,PNB-9991312028,ACTIVE
166,8332,93,1000,YEARLY,1,2025-07-05,Kotak-8585583166,ACTIVE
167,2254,40,3000,MONTHLY,3,2025-06-01,HDFC-9752058817,ACTIVE
168,2148,153,1000,QUARTERLY,13,2025-03-20,ICICI-2879792991,ACTIVE
169,3892,249,10000,MONTHLY,15,2025-11-09,Kotak-2928130926,ACTIVE
170,5071,248,1500,MONTHLY,26,2025-08-29,Axis-7187318744,ACTIVE
171,6257,129,10000,MONTHLY,17,2025-08-03,ICICI-3597009738,PAUSED
172,855,165,500,MONTHLY,16,2025-07-10,BOB-5830454240,ACTIVE
173,2627,70,10000,MONTHLY,15,2025-09-20,ICICI-5409514899,ACTIVE
174,8225,96,1500,MONTHLY,8,2025-07-17,HDFC-1627276995,ACTIVE
175,7741,179,2000,MONTHLY,27,2025-03-13,Union Bank-4890628295,ACTIVE
176,3534,214,3000,MONTHLY,5,2025-10-08,Indian Bank-8628603366,ACTIVE
177,1997,13,2000,MONTHLY,8,2025-08-03,Indian Bank-3302333490,ACTIVE
178,9422,62,2000,MONTHLY,23,2025-03-15,Kotak-2515333350,ACTIVE
179,3069,171,1500,MONTHLY,22,2025-02-13,BOB-3380064537,ACTIVE
180,7703,12,1500,MONTHLY,21,2025-07-18,PNB-5585133383,ACTIVE
181,1699,198,500,MONTHLY,19,2025-06-20,ICICI-3760786161,PAUSED
182,7613,179,10000,MONTHLY,16,2025-11-20,ICICI-9347720574,ACTIVE
183,3303,12,1500,HALF_YEARLY,26,2025-04-13,SBI-7508522951,COMPLETED
184,8898,122,1500,MONTHLY,9,2025-01-19,Axis-4353689019,PAUSED
185,5439,70,2000,MONTHLY,4,2025-07-08,Canara-6955593943,COMPLETED
186,8130,178,1500,QUARTERLY,16,2025-07-08,BOB-8417757797,ACTIVE
187,9871,211,1500,MONTHLY,6,2025-10-07,Kotak-6564731230,ACTIVE
188,6982,43,2000,MONTHLY,23,2025-08-16,PNB-9581991473,ACTIVE
189,940,20,1500,MONTHLY,22,2025-11-23,Canara-1133747952,PAUSED
190,7180,9,10000,MONTHLY,5,2025-02-04,Axis-6850392220,CANCELLED
191,531,155,1500,MONTHLY,5,2025-12-14,Union Bank-4277422858,ACTIVE
192,8675,94,1000,YEARLY,13,2025-06-10,Kotak-9701231535,ACTIVE
193,8483,100,10000,MONTHLY,18,2025-03-02,Kotak-2916728422,COMPLETED
194,4679,178,1000,QUARTERLY,16,2025-04-13,HDFC-2941508568,PAUSED
195,7293,23,5000,MONTHLY,26,2025-12-16,PNB-9868845806,ACTIVE
196,4915,218,10000,MONTHLY,6,2025-12-31,ICICI-1963110410,COMPLETED
197,2276,61,1500,MONTHLY,26,2025-09-10,SBI-6879428703,PAUSED
198,9039,34,1500,MONTHLY,20,2025-02-14,HDFC-3469178881,ACTIVE
199,5195,165,5000,MONTHLY,3,2025-08-19,Union Bank-3524521602,ACTIVE
200,2115,111,3000,MONTHLY,17,2025-01-29,HDFC-1707196784,ACTIVE
201,3695,89,1500,MONTHLY,17,2025-05-26,HDFC-2178758213,ACTIVE
202,8741,24,3000,HALF_YEARLY,17,2025-11-25,ICICI-1662259333,ACTIVE
203,9915,87,10000,QUARTERLY,27,2025-10-16,SBI-1348849508,CANCELLED
204,9450,68,2000,MONTHLY,21,2025-04-18,Indian Bank-5425044246,PAUSED
205,8939,75,1000,QUARTERLY,21,2025-06-04,Union Bank-8236980551,ACTIVE
206,1196,177,2000,MONTHLY,2,2025-03-22,Union Bank-6171239466,ACTIVE
207,5122,221,2000,MONTHLY,23,2025-06-13,PNB-3412273600,ACTIVE
208,7643,32,1000,MONTHLY,9,2025-08-19,Axis-7937993287,ACTIVE
209,2617,209,1000,MONTHLY,11,2025-10-23,PNB-7505693643,ACTIVE
210,5056,128,3000,MONTHLY,1,2025-02-16,Canara-2033921654,ACTIVE
211,798,13,10000,MONTHLY,10,2025-09-11,Indian Bank-7316122432,ACTIVE
212,1762,111,10000,MONTHLY,5,2025-05-16,PNB-5489281916,ACTIVE
213,9205,50,500,MONTHLY,12,2025-10-11,Kotak-7656585531,PAUSED
214,1947,33,10000,YEARLY,4,2025-07-21,PNB-1619623590,ACTIVE
215,6577,129,1000,MONTHLY,2,2025-01-24,SBI-8747974356,ACTIVE
216,2441,156,3000,MONTHLY,17,2025-03-13,PNB-8913915028,ACTIVE
217,8312,213,5000,MONTHLY,17,2025-09-30,Union Bank-5366422491,ACTIVE
218,1796,107,3000,MONTHLY,19,2025-06-07,SBI-3480920839,ACTIVE
219,9561,123,10000,QUARTERLY,6,2025-09-26,Indian Bank-3923699745,ACTIVE
220,1801,49,2000,MONTHLY,1,2025-08-14,PNB-3965676060,ACTIVE
221,7727,224,3000,MONTHLY,28,2025-02-01,ICICI-8139209752,ACTIVE
222,5141,245,1500,MONTHLY,6,2025-08-24,BOB-3079537716,COMPLETED
223,4572,143,10000,MONTHLY,10,2025-04-26,Kotak-8322868827,ACTIVE
224,5715,144,500,MONTHLY,26,2025-05-21,Kotak-7627954353,PAUSED
225,6465,210,500,MONTHLY,12,2025-03-16,Kotak-4067213499,ACTIVE
226,7248,168,1000,QUARTERLY,9,2025-09-03,Axis-2166605339,ACTIVE
227,9615,62,1000,MONTHLY,8,2025-01-26,BOB-1225447588,ACTIVE
228,7740,26,3000,YEARLY,22,2025-03-12,SBI-5973319056,ACTIVE
229,7794,123,1500,MONTHLY,21,2025-04-13,Kotak-4301648719,ACTIVE
230,3805,137,2000,QUARTERLY,24,2025-01-20,ICICI-4949801453,COMPLETED
231,6505,202,500,MONTHLY,16,2025-04-06,Kotak-9516893896,ACTIVE
232,8902,135,2000,MONTHLY,16,2025-03-10,BOB-4473829163,ACTIVE
233,7519,166,5000,MONTHLY,9,2025-04-06,SBI-1829621429,ACTIVE
234,6644,212,500,MONTHLY,14,2025-09-21,PNB-1409675904,COMPLETED
235,7823,83,2000,MONTHLY,8,2025-01-04,Kotak-8532327465,COMPLETED
236,4948,150,1500,MONTHLY,24,2025-10-21,SBI-3975418439,ACTIVE
237,1937,120,5000,MONTHLY,10,2025-03-23,Canara-6562144159,ACTIVE
238,3591,246,2000,MONTHLY,5,2025-09-02,ICICI-7896596272,ACTIVE
239,8999,234,10000,MONTHLY,16,2025-10-03,Axis-9941564880,ACTIVE
240,5928,20,10000,MONTHLY,19,2025-02-27,SBI-3171050399,ACTIVE
241,2456,43,500,MONTHLY,11,2025-09-24,Union Bank-3099500153,PAUSED
242,7299,208,3000,MONTHLY,2,2025-08-21,ICICI-3421980125,ACTIVE
243,5050,186,10000,MONTHLY,1,2025-07-22,Kotak-1313659437,ACTIVE
244,1045,139,500,MONTHLY,2,2025-02-05,Union Bank-9434381915,ACTIVE
245,6267,115,500,MONTHLY,28,2025-07-13,Canara-3316277000,ACTIVE
246,5698,31,3000,MONTHLY,6,2025-10-03,Canara-5203589186,PAUSED
247,373,77,2000,MONTHLY,15,2025-12-11,BOB-4536306171,ACTIVE
248,5672,40,500,QUARTERLY,9,2025-04-07,HDFC-1067198189,ACTIVE
249,1654,153,5000,MONTHLY,2,2025-08-17,Indian Bank-1209063208,ACTIVE
250,6591,113,10000,QUARTERLY,8,2025-10-04,Axis-1242425303,ACTIVE
251,4740,60,3000,MONTHLY,27,2025-10-22,PNB-2377246195,ACTIVE
252,2348,170,1500,MONTHLY,17,2025-04-24,Canara-8210176888,ACTIVE
253,769,249,10000,MONTHLY,12,2025-11-26,Canara-8285589122,ACTIVE
254,4914,97,1000,QUARTERLY,6,2025-10-03,Union Bank-4039019230,PAUSED
255,945,144,3000,MONTHLY,14,2025-08-02,BOB-6338036681,ACTIVE
256,1296,237,3000,MONTHLY,15,2025-07-09,HDFC-1818112342,ACTIVE
257,9912,155,10000,MONTHLY,2,2025-02-07,Axis-3400244542,ACTIVE
258,5456,78,5000,MONTHLY,1,2025-04-19,Axis-6173344564,CANCELLED
259,9046,83,2000,MONTHLY,25,2025-05-25,Canara-6837975356,ACTIVE
260,8402,226,10000,YEARLY,16,2025-08-27,HDFC-8901585274,CANCELLED
261,6074,81,10000,MONTHLY,14,2025-01-24,Indian Bank-1626733282,ACTIVE
262,9569,149,1000,MONTHLY,24,2025-08-02,Kotak-6282889763,ACTIVE
263,4027,128,1500,MONTHLY,18,2025-12-02,PNB-8471499716,ACTIVE
264,5771,44,1000,HALF_YEARLY,5,2025-10-07,Union Bank-9842186844,ACTIVE
265,1218,242,10000,MONTHLY,27,2025-12-09,SBI-3708842947,ACTIVE
266,2475,3,1500,MONTHLY,7,2025-09-16,Union Bank-9215204939,ACTIVE
267,258,2,500,MONTHLY,18,2025-10-10,Canara-8396761430,ACTIVE
268,4698,5,10000,HALF_YEARLY,17,2025-12-24,Canara-1769945233,CANCELLED
269,8592,39,3000,MONTHLY,8,2025-04-09,Indian Bank-6817280229,ACTIVE
270,1295,96,1000,YEARLY,13,2025-08-24,Indian Bank-6265016831,ACTIVE
271,1321,168,500,MONTHLY,28,2025-11-29,SBI-3044426338,ACTIVE
272,2808,22,3000,YEARLY,16,2025-08-11,PNB-5182609867,PAUSED
273,698,59,2000,MONTHLY,7,2025-12-21,Indian Bank-4969233836,ACTIVE
274,4594,231,1000,HALF_YEARLY,18,2025-10-16,SBI-2350701477,COMPLETED
275,9618,37,500,MONTHLY,25,2025-12-31,Canara-3422182038,ACTIVE
276,6376,174,10000,MONTHLY,18,2025-06-19,Canara-9926778957,ACTIVE
277,5667,14,10000,MONTHLY,4,2025-08-12,Axis-7853087029,COMPLETED
278,5348,8,2000,MONTHLY,21,2025-05-20,Union Bank-6907413963,ACTIVE
279,9599,170,1500,MONTHLY,13,2025-02-13,Indian Bank-4062777850,ACTIVE
280,2527,98,5000,MONTHLY,23,2025-11-21,ICICI-2549195708,ACTIVE
281,5051,114,1000,MONTHLY,12,2025-05-19,HDFC-7146010221,ACTIVE
282,8396,105,1500,MONTHLY,4,2025-01-14,HDFC-8664105957,PAUSED
283,203,75,5000,HALF_YEARLY,14,2025-07-18,HDFC-5201221330,ACTIVE
284,2779,176,1500,MONTHLY,13,2025-03-28,ICICI-3117951204,ACTIVE
285,7122,71,10000,MONTHLY,14,2025-06-03,Union Bank-7979466538,ACTIVE
286,3204,118,500,HALF_YEARLY,4,2025-03-11,Kotak-7958672456,PAUSED
287,5400,113,1000,MONTHLY,11,2025-08-09,Indian Bank-3986257683,ACTIVE
288,2911,247,5000,MONTHLY,13,2025-06-13,Kotak-6336171726,ACTIVE
289,6438,94,3000,YEARLY,4,2025-10-16,Axis-8418324922,CANCELLED
290,3435,113,10000,QUARTERLY,26,2025-05-30,HDFC-8709662258,ACTIVE
291,2281,163,5000,MONTHLY,10,2025-05-04,Kotak-2619163247,ACTIVE
292,9797,123,3000,HALF_YEARLY,19,2025-07-25,BOB-9454334062,ACTIVE
293,8797,153,10000,MONTHLY,21,2025-02-13,HDFC-8149805821,ACTIVE
294,726,145,10000,MONTHLY,21,2025-12-13,Canara-8714753670,ACTIVE
295,1616,67,3000,MONTHLY,8,2025-09-19,BOB-3470617247,ACTIVE
296,6409,119,5000,MONTHLY,25,2025-12-14,Indian Bank-5400463094,ACTIVE
297,6816,236,1500,MONTHLY,3,2025-03-01,ICICI-7369118672,ACTIVE
298,7179,185,500,MONTHLY,23,2025-08-20,PNB-1494287462,PAUSED
299,1792,174,3000,MONTHLY,26,2025-03-26,Axis-5982744929,ACTIVE
300,7571,60,1000,MONTHLY,26,2025-07-27,ICICI-7150970643,ACTIVE
301,3233,116,500,MONTHLY,19,2025-08-08,Canara-6178804925,ACTIVE
302,1026,148,1500,MONTHLY,4,2025-10-02,ICICI-2965164102,ACTIVE
303,8020,136,2000,MONTHLY,21,2025-06-10,Indian Bank-3521166052,ACTIVE
304,7502,159,3000,MONTHLY,6,2025-12-11,Kotak-3886690817,ACTIVE
305,3909,79,5000,MONTHLY,4,2025-04-04,PNB-6963404324,ACTIVE
306,9418,99,5000,MONTHLY,14,2025-04-06,Union Bank-6011649263,ACTIVE
307,3066,81,500,QUARTERLY,27,2025-08-19,Indian Bank-5088130061,ACTIVE
308,3197,209,5000,MONTHLY,13,2025-10-15,BOB-8235717104,ACTIVE
309,7273,126,500,MONTHLY,6,2025-02-12,Indian Bank-6242134332,ACTIVE
310,3684,138,3000,MONTHLY,10,2025-03-28,Union Bank-8584566722,ACTIVE
311,1855,147,10000,YEARLY,4,2025-05-18,BOB-4250372185,ACTIVE
312,7232,140,5000,QUARTERLY,7,2025-08-06,HDFC-4227004325,ACTIVE
313,529,116,2000,QUARTERLY,9,2025-06-28,HDFC-4487036345,ACTIVE
314,9633,177,5000,MONTHLY,12,2025-12-30,Indian Bank-3646349248,ACTIVE
315,3391,207,3000,MONTHLY,2,2025-10-19,PNB-3313993297,ACTIVE
316,4795,75,5000,QUARTERLY,19,2025-05-17,BOB-3817053070,ACTIVE
317,2175,64,10000,MONTHLY,5,2025-12-31,PNB-6981604165,ACTIVE
318,4403,161,500,MONTHLY,14,2025-07-12,Union Bank-5694806361,ACTIVE
319,4559,178,1500,MONTHLY,12,2025-08-21,Union Bank-9989974968,COMPLETED
320,5870,218,1000,YEARLY,3,2025-10-01,Canara-4542693668,ACTIVE
321,5290,213,3000,MONTHLY,10,2025-06-22,BOB-8956094389,ACTIVE
322,794,12,500,MONTHLY,4,2025-11-17,Union Bank-4683585586,ACTIVE
323,12,246,5000,MONTHLY,14,2025-04-14,ICICI-9059914313,ACTIVE
324,5906,65,500,MONTHLY,3,2025-07-10,ICICI-6300607425,ACTIVE
325,1560,1,1000,MONTHLY,7,2025-09-02,HDFC-2911547690,ACTIVE
